Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/auto.bmp,523.15,165.24,63.24,189.0
../imgs/auto.bmp,523.2,165.95,62.32,167.0
../imgs/auto.bmp,523.16,165.7,63.56,189.0
../imgs/auto.bmp,522.04,165.1,63.15,161.0
../imgs/auto.bmp,523.42,165.09,69.26,171.0
../imgs/auto.bmp,523.53,165.62,63.06,189.0
../imgs/auto.bmp,523.01,165.19,63.0,189.0
../imgs/auto.bmp,523.14,165.83,63.04,189.0
../imgs/auto.bmp,523.08,165.75,63.16,189.0
../imgs/auto.bmp,523.32,165.24,69.4,171.0
../imgs/auto.bmp,523.31,165.23,69.18,171.0
../imgs/auto.bmp,523.9,165.9,63.39,189.0
../imgs/auto.bmp,523.45,165.26,63.55,189.0
../imgs/auto.bmp,523.03,165.48,63.54,189.0
../imgs/auto.bmp,523.89,165.46,62.62,167.0
../imgs/auto.bmp,523.52,165.68,63.84,189.0
../imgs/auto.bmp,524.35,169.9,66.91,143.0
../imgs/auto.bmp,523.02,164.04,62.61,144.0
../imgs/auto.bmp,523.2,165.39,63.09,189.0
../imgs/auto.bmp,523.24,165.95,63.37,189.0
../imgs/auto.bmp,523.82,169.42,66.19,141.0
../imgs/auto.bmp,523.08,165.01,63.03,189.0
../imgs/auto.bmp,523.31,165.31,62.94,167.0
../imgs/auto.bmp,523.15,165.32,63.16,189.0
../imgs/auto.bmp,523.47,165.04,69.13,171.0
../imgs/auto.bmp,523.19,165.92,63.45,189.0
../imgs/auto.bmp,523.87,166.45,63.53,180.0
../imgs/auto.bmp,523.31,165.78,63.33,189.0
../imgs/auto.bmp,523.15,165.15,62.04,167.0
../imgs/auto.bmp,523.98,165.42,63.49,189.0
../imgs/auto.bmp,523.04,166.15,63.1,180.0
../imgs/auto.bmp,523.82,165.07,63.69,189.0
../imgs/auto.bmp,522.92,165.85,69.25,150.0
../imgs/auto.bmp,523.08,165.36,63.27,189.0
../imgs/auto.bmp,523.0,165.0,63.07,189.0
../imgs/auto.bmp,523.05,165.22,69.13,171.0
../imgs/auto.bmp,523.24,165.68,63.66,189.0
../imgs/auto.bmp,523.26,165.06,63.33,189.0
../imgs/auto.bmp,523.36,164.18,69.29,159.0
../imgs/auto.bmp,523.03,165.76,63.33,189.0
../imgs/auto.bmp,523.59,165.51,63.02,189.0
../imgs/auto.bmp,524.53,169.61,66.86,143.0
../imgs/auto.bmp,523.85,166.25,63.03,180.0
../imgs/auto.bmp,523.24,166.0,63.05,180.0
../imgs/auto.bmp,523.37,165.49,62.02,167.0
../imgs/auto.bmp,523.05,165.27,63.09,189.0
../imgs/auto.bmp,523.32,164.75,70.98,143.0
../imgs/auto.bmp,522.36,165.19,62.65,138.0
../imgs/auto.bmp,523.1,165.33,63.31,189.0
../imgs/auto.bmp,523.44,165.18,69.31,171.0
../imgs/auto.bmp,523.21,165.64,63.26,189.0
../imgs/auto.bmp,522.25,166.21,62.48,139.0
../imgs/auto.bmp,523.14,165.03,63.15,189.0
../imgs/auto.bmp,523.2,165.05,62.79,167.0
